# Aquarium Monitor Data Export
# Device: Kate's Aquarium #7 | Export time: Sat Jan 10 00:41:48 2026
# WiFi: SafetyMeeting
# pH Calibration: Yes
# EC Calibration: Yes
# Data Points: 266
# Interval: 5 seconds
#
Timestamp,Unix_Time,Temperature_C,ORP_mV,pH,EC_mS_cm,TDS_ppm,CO2_ppm,NH3_Ratio_%,NH3_ppm,Max_DO_mg_L,Stocking_cm_L,Valid
2026-01-10 00:19:42,1768004382,22.28,280.36,7.52,0.906,579.8,3.60,1.53,0.0000,8.62,1.40,true
2026-01-10 00:19:47,1768004387,22.29,281.19,7.52,0.906,579.8,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:19:52,1768004392,22.28,289.27,7.52,0.906,580.2,3.63,1.52,0.0000,8.62,1.40,true
2026-01-10 00:19:57,1768004397,22.29,294.02,7.52,0.906,579.9,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:20:02,1768004402,22.29,293.55,7.52,0.906,579.9,3.63,1.52,0.0000,8.62,1.40,true
2026-01-10 00:20:07,1768004407,22.29,287.60,7.52,0.906,579.6,3.64,1.52,0.0000,8.62,1.40,true
2026-01-10 00:20:12,1768004412,22.29,280.48,7.51,0.906,579.6,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:20:17,1768004417,22.29,274.92,7.51,0.906,579.9,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:20:22,1768004422,22.29,272.70,7.51,0.906,579.7,3.67,1.51,0.0000,8.62,1.40,true
2026-01-10 00:20:27,1768004427,22.29,275.75,7.52,0.906,579.8,3.62,1.53,0.0000,8.62,1.40,true
2026-01-10 00:20:32,1768004432,22.29,280.26,7.52,0.906,579.6,3.63,1.52,0.0000,8.62,1.40,true
2026-01-10 00:20:37,1768004437,22.29,286.12,7.52,0.906,579.9,3.63,1.52,0.0000,8.62,1.40,true
2026-01-10 00:20:42,1768004442,22.29,290.89,7.52,0.907,580.2,3.62,1.53,0.0000,8.62,1.40,true
2026-01-10 00:20:47,1768004447,22.29,295.31,7.52,0.906,579.9,3.58,1.54,0.0000,8.62,1.40,true
2026-01-10 00:20:52,1768004452,22.29,298.73,7.52,0.907,580.2,3.59,1.54,0.0000,8.62,1.40,true
2026-01-10 00:20:57,1768004457,22.29,300.61,7.52,0.907,580.2,3.60,1.53,0.0000,8.62,1.40,true
2026-01-10 00:21:02,1768004462,22.29,301.80,7.52,0.907,580.4,3.60,1.53,0.0000,8.62,1.40,true
2026-01-10 00:21:07,1768004467,22.29,302.36,7.52,0.907,580.3,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:21:12,1768004472,22.29,302.92,7.52,0.907,580.3,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:21:17,1768004477,22.29,302.48,7.52,0.907,580.5,3.64,1.52,0.0000,8.62,1.40,true
2026-01-10 00:21:22,1768004482,22.29,301.72,7.52,0.907,580.5,3.66,1.51,0.0000,8.62,1.40,true
2026-01-10 00:21:27,1768004487,22.29,298.81,7.52,0.907,580.4,3.64,1.52,0.0000,8.62,1.40,true
2026-01-10 00:21:32,1768004492,22.30,295.00,7.51,0.906,580.1,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:21:37,1768004497,22.29,290.33,7.51,0.906,580.0,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:21:42,1768004502,22.29,285.29,7.51,0.907,580.3,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:21:47,1768004507,22.29,280.09,7.51,0.907,580.3,3.69,1.50,0.0000,8.62,1.40,true
2026-01-10 00:21:52,1768004512,22.29,276.81,7.51,0.906,579.9,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:21:57,1768004517,22.29,273.16,7.51,0.906,579.8,3.68,1.50,0.0000,8.62,1.40,true
2026-01-10 00:22:02,1768004522,22.29,270.65,7.52,0.906,579.7,3.65,1.51,0.0000,8.62,1.40,true
2026-01-10 00:22:07,1768004527,22.30,270.23,7.52,0.906,580.1,3.66,1.51,0.0000,8.62,1.40,true
2026-01-10 00:22:12,1768004532,22.29,272.42,7.52,0.907,580.2,3.60,1.53,0.0000,8.62,1.40,true
2026-01-10 00:22:17,1768004537,22.30,278.48,7.52,0.907,580.3,3.59,1.54,0.0000,8.62,1.40,true
2026-01-10 00:22:22,1768004542,22.29,285.11,7.52,0.907,580.4,3.59,1.54,0.0000,8.62,1.40,true
2026-01-10 00:22:27,1768004547,22.30,291.05,7.52,0.907,580.4,3.59,1.54,0.0000,8.62,1.40,true
2026-01-10 00:22:32,1768004552,22.30,295.03,7.52,0.907,580.6,3.62,1.53,0.0000,8.62,1.40,true
2026-01-10 00:22:37,1768004557,22.30,296.03,7.52,0.906,580.1,3.64,1.52,0.0000,8.62,1.40,true
2026-01-10 00:22:42,1768004562,22.29,294.92,7.52,0.907,580.4,3.66,1.51,0.0000,8.62,1.40,true
2026-01-10 00:22:47,1768004567,22.29,293.44,7.52,0.907,580.3,3.66,1.51,0.0000,8.62,1.40,true
2026-01-10 00:22:52,1768004572,22.30,290.87,7.51,0.907,580.4,3.68,1.50,0.0000,8.62,1.40,true
2026-01-10 00:22:57,1768004577,22.29,289.06,7.52,0.906,580.0,3.65,1.51,0.0000,8.62,1.40,true
2026-01-10 00:23:02,1768004582,22.29,288.72,7.52,0.907,580.3,3.66,1.51,0.0000,8.62,1.40,true
2026-01-10 00:23:07,1768004587,22.29,290.75,7.52,0.907,580.2,3.62,1.53,0.0000,8.62,1.40,true
2026-01-10 00:23:12,1768004592,22.30,294.69,7.52,0.907,580.4,3.63,1.52,0.0000,8.62,1.40,true
2026-01-10 00:23:17,1768004597,22.30,297.60,7.52,0.907,580.5,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:23:22,1768004602,22.30,299.27,7.52,0.907,580.4,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:23:27,1768004607,22.29,300.17,7.52,0.907,580.6,3.59,1.54,0.0000,8.62,1.40,true
2026-01-10 00:23:32,1768004612,22.30,300.71,7.52,0.907,580.4,3.62,1.53,0.0000,8.62,1.40,true
2026-01-10 00:23:37,1768004617,22.30,300.92,7.52,0.907,580.4,3.59,1.54,0.0000,8.62,1.40,true
2026-01-10 00:23:42,1768004622,22.29,301.10,7.52,0.907,580.7,3.59,1.54,0.0000,8.62,1.40,true
2026-01-10 00:23:47,1768004627,22.30,299.23,7.52,0.907,580.5,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:23:52,1768004632,22.30,294.17,7.52,0.907,580.3,3.65,1.51,0.0000,8.62,1.40,true
2026-01-10 00:23:57,1768004637,22.30,285.90,7.51,0.907,580.3,3.67,1.50,0.0000,8.62,1.40,true
2026-01-10 00:24:02,1768004642,22.29,278.08,7.51,0.906,580.1,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:24:07,1768004647,22.29,274.27,7.51,0.906,580.1,3.68,1.50,0.0000,8.62,1.40,true
2026-01-10 00:24:12,1768004652,22.30,276.11,7.52,0.906,580.1,3.64,1.52,0.0000,8.62,1.40,true
2026-01-10 00:24:17,1768004657,22.30,280.31,7.52,0.907,580.5,3.62,1.53,0.0000,8.62,1.40,true
2026-01-10 00:24:22,1768004662,22.30,286.56,7.52,0.907,580.3,3.60,1.53,0.0000,8.62,1.40,true
2026-01-10 00:24:27,1768004667,22.30,292.22,7.52,0.907,580.6,3.59,1.54,0.0000,8.62,1.40,true
2026-01-10 00:24:32,1768004672,22.30,293.92,7.52,0.907,580.2,3.64,1.52,0.0000,8.62,1.40,true
2026-01-10 00:24:37,1768004677,22.30,289.71,7.51,0.907,580.2,3.67,1.50,0.0000,8.62,1.40,true
2026-01-10 00:24:42,1768004682,22.29,282.14,7.51,0.906,580.1,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:24:47,1768004687,22.30,274.96,7.51,0.906,579.8,3.68,1.50,0.0000,8.62,1.40,true
2026-01-10 00:24:52,1768004692,22.30,274.59,7.52,0.907,580.4,3.64,1.52,0.0000,8.62,1.40,true
2026-01-10 00:24:57,1768004697,22.30,279.43,7.52,0.907,580.3,3.63,1.52,0.0000,8.62,1.40,true
2026-01-10 00:25:02,1768004702,22.30,286.77,7.52,0.907,580.4,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:25:07,1768004707,22.30,292.16,7.52,0.907,580.6,3.64,1.52,0.0000,8.62,1.40,true
2026-01-10 00:25:12,1768004712,22.30,294.99,7.53,0.907,580.4,3.58,1.54,0.0000,8.62,1.40,true
2026-01-10 00:25:17,1768004717,22.30,295.52,7.52,0.907,580.5,3.65,1.52,0.0000,8.62,1.40,true
2026-01-10 00:25:22,1768004722,22.30,292.38,7.51,0.907,580.3,3.67,1.51,0.0000,8.62,1.40,true
2026-01-10 00:25:27,1768004727,22.30,288.79,7.52,0.907,580.3,3.66,1.51,0.0000,8.62,1.40,true
2026-01-10 00:25:32,1768004732,22.30,284.87,7.52,0.906,580.1,3.65,1.51,0.0000,8.62,1.40,true
2026-01-10 00:25:37,1768004737,22.30,282.59,7.52,0.907,580.5,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:25:42,1768004742,22.29,281.51,7.52,0.906,580.0,3.65,1.51,0.0000,8.62,1.40,true
2026-01-10 00:25:47,1768004747,22.30,282.28,7.52,0.907,580.2,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:25:52,1768004752,22.30,284.99,7.52,0.907,580.5,3.62,1.53,0.0000,8.62,1.40,true
2026-01-10 00:25:57,1768004757,22.30,288.89,7.52,0.907,580.6,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:26:02,1768004762,22.30,292.86,7.52,0.907,580.6,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:26:07,1768004767,22.30,295.21,7.52,0.907,580.5,3.63,1.52,0.0000,8.62,1.40,true
2026-01-10 00:26:12,1768004772,22.30,296.18,7.52,0.907,580.7,3.66,1.51,0.0000,8.62,1.40,true
2026-01-10 00:26:17,1768004777,22.30,294.50,7.51,0.907,580.7,3.71,1.49,0.0000,8.62,1.40,true
2026-01-10 00:26:22,1768004782,22.30,288.22,7.51,0.907,580.4,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:26:27,1768004787,22.30,280.28,7.51,0.907,580.2,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:26:32,1768004792,22.30,274.78,7.51,0.907,580.2,3.68,1.50,0.0000,8.62,1.40,true
2026-01-10 00:26:37,1768004797,22.30,273.28,7.52,0.907,580.4,3.63,1.52,0.0000,8.62,1.40,true
2026-01-10 00:26:42,1768004802,22.30,274.66,7.52,0.907,580.5,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:26:47,1768004807,22.30,279.06,7.52,0.907,580.4,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:26:52,1768004812,22.30,284.76,7.52,0.907,580.6,3.60,1.54,0.0000,8.62,1.40,true
2026-01-10 00:26:57,1768004817,22.30,289.73,7.52,0.907,580.7,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:27:02,1768004822,22.30,293.95,7.52,0.907,580.6,3.66,1.51,0.0000,8.62,1.40,true
2026-01-10 00:27:07,1768004827,22.30,295.43,7.52,0.907,580.7,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:27:12,1768004832,22.30,296.54,7.52,0.907,580.7,3.61,1.53,0.0000,8.62,1.40,true
2026-01-10 00:27:17,1768004837,22.30,297.43,7.52,0.907,580.7,3.60,1.53,0.0000,8.62,1.40,true
2026-01-10 00:27:22,1768004842,22.30,297.40,7.52,0.908,580.8,3.64,1.52,0.0000,8.62,1.40,true
2026-01-10 00:27:27,1768004847,22.30,296.53,7.52,0.907,580.5,3.63,1.52,0.0000,8.62,1.40,true
2026-01-10 00:27:32,1768004852,22.30,294.54,7.52,0.907,580.3,3.64,1.52,0.0000,8.62,1.40,true
2026-01-10 00:27:37,1768004857,22.30,290.98,7.52,0.907,580.5,3.63,1.52,0.0000,8.62,1.40,true
2026-01-10 00:27:42,1768004862,22.30,285.90,7.51,0.907,580.6,3.67,1.51,0.0000,8.62,1.40,true
2026-01-10 00:27:47,1768004867,22.30,282.01,7.51,0.907,580.2,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:27:52,1768004872,22.30,277.54,7.51,0.907,580.7,3.69,1.50,0.0000,8.62,1.40,true
2026-01-10 00:27:57,1768004877,22.30,273.62,7.51,0.907,580.5,3.72,1.48,0.0000,8.62,1.40,true
2026-01-10 00:28:02,1768004882,22.30,269.41,7.51,0.907,580.3,3.70,1.50,0.0000,8.62,1.40,true
2026-01-10 00:28:07,1768004887,22.30,266.62,7.51,0.907,580.2,3.70,1.49,0.0000,8.62,1.40,true
2026-01-10 00:28:12,1768004892,22.30,265.14,7.51,0.907,580.3,3.68,1.50,0.0000,8.62,1.40,true
2026-01-10 00:28:17,1768004897,22.30,264.49,7.52,0.907,580.3,3.66,1.51,0.0000,8.62,1.40,true
